"regulatoryGene","targetGene","weight"
"CDX2","IL6",0.0734122227367174
"CEBPA","IL6",0.0652681441872267
"SPI1","IL6",0.0488729235769152
"CEBPB","IL6",0.0437956335735921
"RUNX1","IL6",0.0393312116828434
"ERG","IL6",0.0358814793329429
"NFKB2","IL6",0.0356335888289632
"HIF1A","IL6",0.0355738859802749
"NFKB1","IL6",0.0316109515586169
"BACH1","IL6",0.0312459211956008
"REL","IL6",0.0312115250481561
"STAT5B","IL6",0.0303764114534414
"STAT5A","IL6",0.0297828863018055
"ELK1","IL6",0.0284997498025996
"FOSL1","IL6",0.0276074435350794
"PPARG","IL6",0.0267651766515344
"CREB1","IL6",0.0260014579288657
"EGR1","IL6",0.021848502926012
"STAT4","IL6",0.021632685683276
"FLI1","IL6",0.0206040721747991
"HNF1A","IL6",0.019423145665232
"KLF4","IL6",0.0132899075794793
"TFAP2C","IL6",0.0108330854447253
"RUNX3","IL6",0.0103163135170488
"NFATC2","IL6",0.0101251986457564
"MYB","IL6",0.00987762228736177
"HNF4A","IL6",0.00912890223540685
"TWIST1","IL6",0.0090040691829612
"FOS","IL6",0.00897976622119187
"ETS2","IL6",0.00889761735627651
"VDR","IL6",0.00799666566752311
"EPAS1","IL6",0.0078432673555115
"FOXA1","IL6",0.00769081469355541
"CEBPD","IL6",0.00744037266644881
"RELA","IL6",0.00733590064381047
"ZEB1","IL6",0.00445812230684731
"E2F3","IL6",0.00444142631683069
"MYC","IL6",0.0043969537350785
"IRF1","IL6",0.00413228112699223
"FOXP1","IL6",0.00385677855367387
"MITF","IL6",0.00365110092454503
"ATF6","IL6",0.00356138050020815
"ETS1","IL6",0.00328344758164791
"FOXO4","IL6",0.00327913094074154
"ZBTB33","IL6",0.00308911694143712
"SREBF2","IL6",0.00304785381203028
"GLI2","IL6",0.0027819876680163
"RARA","IL6",0.00272290627376721
"RXRA","IL6",0.00271298384874643
"PAX8","IL6",0.00269790640581686
"SRF","IL6",0.0025176934015256
"TCF7L2","IL6",0.00251258534824138
"REST","IL6",0.00249024012710071
"USF2","IL6",0.0024818028040446
"NFIC","IL6",0.00242256194902689
"MYCN","IL6",0.00241697413291357
"JUN","IL6",0.00235020562200324
"JUND","IL6",0.00231545749796704
"FOSL2","IL6",0.00230073298038494
"TCF3","IL6",0.00227156133449721
"RELB","IL6",0.00224729649617416
"STAT3","IL6",0.00224212778374176
"PPARA","IL6",0.00218173240954734
"SMAD3","IL6",0.00216795659322638
"STAT1","IL6",0.00216509075666177
"SOX10","IL6",0.00213482452134587
"NR3C1","IL6",0.00213300519304837
"ESR1","IL6",0.0020581024719576
"SOX2","IL6",0.00198503996736504
"E2F2","IL6",0.00190415211065189
"HSF1","IL6",0.00185242356976648
"TFAP2A","IL6",0.00178074928633919
"RFX5","IL6",0.00177796595711249
"KMT2A","IL6",0.00169044905914072
"SREBF1","IL6",0.00168043816449558
"ATF4","IL6",0.00167381035066261
"TP53","IL6",0.00165984608145643
"GATA1","IL6",0.00163706232283523
"SP3","IL6",0.00159203901525526
"ATF2","IL6",0.00152694304411446
"ATF1","IL6",0.00151499167506131
"POU2F1","IL6",0.00148745603874121
"ARNTL","IL6",0.00136776403687674
"SOX9","IL6",0.00134374443861969
"TP63","IL6",0.00127647568208028
"STAT6","IL6",0.00127275359358713
"LEF1","IL6",0.00120664920045247
"FOXM1","IL6",0.0012003276042682
"PGR","IL6",0.00116683146125007
"STAT2","IL6",0.00113712958347186
"GATA2","IL6",0.0011357745018973
"IRF9","IL6",0.00105390682834382
"ESR2","IL6",0.0010378177958936
"SMAD4","IL6",0.00103060060517396
"POU2F2","IL6",0.00100599074687007
"FOXO1","IL6",0.000980183903754513
"NFE2L2","IL6",0.000973536082121339
"TFDP1","IL6",0.000967642217284479
"CTCF","IL6",0.000959304290701778
"YY1","IL6",0.000916845921081087
"ZNF263","IL6",0.000903014291555129
"SP1","IL6",0.00089631218079725
"FOXA2","IL6",0.000844660518411264
"E2F1","IL6",0.000836474566575122
"TAL1","IL6",0.000743497800748539
"FOXO3","IL6",0.000730892734190528
"E2F4","IL6",0.000669705535841188
"USF1","IL6",0.00064846729923132
"AR","IL6",0.000636396901473917
"ETV4","IL6",0.000552417497285258
"PAX6","IL6",0.000435374860121251
"NR2F2","IL6",0.000424695255149502
"GATA3","IL6",0.000360139400450142
"NFYA","IL6",0.000280525231203186
"WT1","IL6",0.000253125416926357
"PRDM14","IL6",0.000241560961748413
"NR5A1","IL6",6.06323726571303e-05
"FOXL2","IL6",2.36103575686247e-05
