"from","to","combined_score"
"9606.ENSP00000225964","9606.ENSP00000238682",675
"9606.ENSP00000225964","9606.ENSP00000238682",675
"9606.ENSP00000225964","9606.ENSP00000263341",522
"9606.ENSP00000225964","9606.ENSP00000263341",522
"9606.ENSP00000229135","9606.ENSP00000263341",907
"9606.ENSP00000229135","9606.ENSP00000263341",907
"9606.ENSP00000238682","9606.ENSP00000263341",561
"9606.ENSP00000238682","9606.ENSP00000263341",561
"9606.ENSP00000229135","9606.ENSP00000283752",642
"9606.ENSP00000229135","9606.ENSP00000283752",642
"9606.ENSP00000263341","9606.ENSP00000283752",570
"9606.ENSP00000263341","9606.ENSP00000283752",570
"9606.ENSP00000229135","9606.ENSP00000296026",525
"9606.ENSP00000229135","9606.ENSP00000296026",525
"9606.ENSP00000263341","9606.ENSP00000296026",857
"9606.ENSP00000263341","9606.ENSP00000296026",857
"9606.ENSP00000229135","9606.ENSP00000296871",862
"9606.ENSP00000229135","9606.ENSP00000296871",862
"9606.ENSP00000238682","9606.ENSP00000296871",459
"9606.ENSP00000238682","9606.ENSP00000296871",459
"9606.ENSP00000263341","9606.ENSP00000296871",988
"9606.ENSP00000263341","9606.ENSP00000296871",988
"9606.ENSP00000296026","9606.ENSP00000296871",628
"9606.ENSP00000296026","9606.ENSP00000296871",628
"9606.ENSP00000225964","9606.ENSP00000297268",999
"9606.ENSP00000225964","9606.ENSP00000297268",999
"9606.ENSP00000238682","9606.ENSP00000297268",556
"9606.ENSP00000238682","9606.ENSP00000297268",556
"9606.ENSP00000263341","9606.ENSP00000297268",414
"9606.ENSP00000263341","9606.ENSP00000297268",414
"9606.ENSP00000225964","9606.ENSP00000304408",989
"9606.ENSP00000225964","9606.ENSP00000304408",989
"9606.ENSP00000238682","9606.ENSP00000304408",659
"9606.ENSP00000238682","9606.ENSP00000304408",659
"9606.ENSP00000263341","9606.ENSP00000304408",414
"9606.ENSP00000263341","9606.ENSP00000304408",414
"9606.ENSP00000297268","9606.ENSP00000304408",991
"9606.ENSP00000297268","9606.ENSP00000304408",991
"9606.ENSP00000229135","9606.ENSP00000306512",862
"9606.ENSP00000229135","9606.ENSP00000306512",862
"9606.ENSP00000238682","9606.ENSP00000306512",467
"9606.ENSP00000238682","9606.ENSP00000306512",467
"9606.ENSP00000262958","9606.ENSP00000306512",922
"9606.ENSP00000262958","9606.ENSP00000306512",922
"9606.ENSP00000263341","9606.ENSP00000306512",998
"9606.ENSP00000263341","9606.ENSP00000306512",998
"9606.ENSP00000296026","9606.ENSP00000306512",753
"9606.ENSP00000296026","9606.ENSP00000306512",753
"9606.ENSP00000296871","9606.ENSP00000306512",988
"9606.ENSP00000296871","9606.ENSP00000306512",988
"9606.ENSP00000225964","9606.ENSP00000324532",509
"9606.ENSP00000225964","9606.ENSP00000324532",509
"9606.ENSP00000264144","9606.ENSP00000324532",968
"9606.ENSP00000264144","9606.ENSP00000324532",968
"9606.ENSP00000304408","9606.ENSP00000324532",442
"9606.ENSP00000304408","9606.ENSP00000324532",442
"9606.ENSP00000229135","9606.ENSP00000327251",764
"9606.ENSP00000229135","9606.ENSP00000327251",764
"9606.ENSP00000263341","9606.ENSP00000327251",813
