"from","to","combined_score"
"9606.ENSP00000215781","9606.ENSP00000222390",970
"9606.ENSP00000215781","9606.ENSP00000222390",970
"9606.ENSP00000215781","9606.ENSP00000225474",528
"9606.ENSP00000215781","9606.ENSP00000225474",528
"9606.ENSP00000222390","9606.ENSP00000225474",660
"9606.ENSP00000222390","9606.ENSP00000225474",660
"9606.ENSP00000225964","9606.ENSP00000261023",943
"9606.ENSP00000225964","9606.ENSP00000261023",943
"9606.ENSP00000222390","9606.ENSP00000261405",524
"9606.ENSP00000222390","9606.ENSP00000261405",524
"9606.ENSP00000225474","9606.ENSP00000261405",461
"9606.ENSP00000225474","9606.ENSP00000261405",461
"9606.ENSP00000225964","9606.ENSP00000261405",563
"9606.ENSP00000225964","9606.ENSP00000261405",563
"9606.ENSP00000261023","9606.ENSP00000261405",940
"9606.ENSP00000261023","9606.ENSP00000261405",940
"9606.ENSP00000215781","9606.ENSP00000261799",638
"9606.ENSP00000215781","9606.ENSP00000261799",638
"9606.ENSP00000222390","9606.ENSP00000261799",816
"9606.ENSP00000222390","9606.ENSP00000261799",816
"9606.ENSP00000225474","9606.ENSP00000261799",705
"9606.ENSP00000225474","9606.ENSP00000261799",705
"9606.ENSP00000225964","9606.ENSP00000261799",742
"9606.ENSP00000225964","9606.ENSP00000261799",742
"9606.ENSP00000261023","9606.ENSP00000261799",938
"9606.ENSP00000261023","9606.ENSP00000261799",938
"9606.ENSP00000261405","9606.ENSP00000261799",528
"9606.ENSP00000261405","9606.ENSP00000261799",528
"9606.ENSP00000222390","9606.ENSP00000264144",910
"9606.ENSP00000222390","9606.ENSP00000264144",910
"9606.ENSP00000261023","9606.ENSP00000264144",713
"9606.ENSP00000261023","9606.ENSP00000264144",713
"9606.ENSP00000222390","9606.ENSP00000264664",752
"9606.ENSP00000222390","9606.ENSP00000264664",752
"9606.ENSP00000261799","9606.ENSP00000264664",763
"9606.ENSP00000261799","9606.ENSP00000264664",763
"9606.ENSP00000261023","9606.ENSP00000265131",924
"9606.ENSP00000261023","9606.ENSP00000265131",924
"9606.ENSP00000222390","9606.ENSP00000267843",835
"9606.ENSP00000222390","9606.ENSP00000267843",835
"9606.ENSP00000225474","9606.ENSP00000267843",497
"9606.ENSP00000225474","9606.ENSP00000267843",497
"9606.ENSP00000225964","9606.ENSP00000267843",429
"9606.ENSP00000225964","9606.ENSP00000267843",429
"9606.ENSP00000261405","9606.ENSP00000267843",412
"9606.ENSP00000261405","9606.ENSP00000267843",412
"9606.ENSP00000261799","9606.ENSP00000267843",788
"9606.ENSP00000261799","9606.ENSP00000267843",788
"9606.ENSP00000215781","9606.ENSP00000274276",997
"9606.ENSP00000215781","9606.ENSP00000274276",997
"9606.ENSP00000225474","9606.ENSP00000274276",794
"9606.ENSP00000225474","9606.ENSP00000274276",794
"9606.ENSP00000222390","9606.ENSP00000277120",696
"9606.ENSP00000222390","9606.ENSP00000277120",696
"9606.ENSP00000264664","9606.ENSP00000277120",644
"9606.ENSP00000264664","9606.ENSP00000277120",644
"9606.ENSP00000267843","9606.ENSP00000277120",680
"9606.ENSP00000267843","9606.ENSP00000277120",680
"9606.ENSP00000225964","9606.ENSP00000283249",757
"9606.ENSP00000225964","9606.ENSP00000283249",757
"9606.ENSP00000261023","9606.ENSP00000283249",999
"9606.ENSP00000261023","9606.ENSP00000283249",999
"9606.ENSP00000261405","9606.ENSP00000283249",695
"9606.ENSP00000261405","9606.ENSP00000283249",695
"9606.ENSP00000264144","9606.ENSP00000283249",789
"9606.ENSP00000264144","9606.ENSP00000283249",789
"9606.ENSP00000265131","9606.ENSP00000283249",812
"9606.ENSP00000265131","9606.ENSP00000283249",812
"9606.ENSP00000225964","9606.ENSP00000293379",840
"9606.ENSP00000225964","9606.ENSP00000293379",840
"9606.ENSP00000261023","9606.ENSP00000293379",910
"9606.ENSP00000261023","9606.ENSP00000293379",910
"9606.ENSP00000261405","9606.ENSP00000293379",731
"9606.ENSP00000261405","9606.ENSP00000293379",731
"9606.ENSP00000264144","9606.ENSP00000293379",763
"9606.ENSP00000264144","9606.ENSP00000293379",763
"9606.ENSP00000265131","9606.ENSP00000293379",747
"9606.ENSP00000265131","9606.ENSP00000293379",747
"9606.ENSP00000283249","9606.ENSP00000293379",971
"9606.ENSP00000283249","9606.ENSP00000293379",971
"9606.ENSP00000225964","9606.ENSP00000295550",880
"9606.ENSP00000225964","9606.ENSP00000295550",880
"9606.ENSP00000261023","9606.ENSP00000295550",915
"9606.ENSP00000261023","9606.ENSP00000295550",915
"9606.ENSP00000261799","9606.ENSP00000295550",469
"9606.ENSP00000261799","9606.ENSP00000295550",469
"9606.ENSP00000264664","9606.ENSP00000295550",435
"9606.ENSP00000264664","9606.ENSP00000295550",435
"9606.ENSP00000267843","9606.ENSP00000295550",473
"9606.ENSP00000267843","9606.ENSP00000295550",473
"9606.ENSP00000283249","9606.ENSP00000295550",707
"9606.ENSP00000283249","9606.ENSP00000295550",707
"9606.ENSP00000293379","9606.ENSP00000295550",735
"9606.ENSP00000293379","9606.ENSP00000295550",735
"9606.ENSP00000222390","9606.ENSP00000296585",921
"9606.ENSP00000222390","9606.ENSP00000296585",921
"9606.ENSP00000225964","9606.ENSP00000296585",966
"9606.ENSP00000225964","9606.ENSP00000296585",966
"9606.ENSP00000261023","9606.ENSP00000296585",931
"9606.ENSP00000261023","9606.ENSP00000296585",931
"9606.ENSP00000261405","9606.ENSP00000296585",758
"9606.ENSP00000261405","9606.ENSP00000296585",758
"9606.ENSP00000264144","9606.ENSP00000296585",943
"9606.ENSP00000264144","9606.ENSP00000296585",943
"9606.ENSP00000265131","9606.ENSP00000296585",921
"9606.ENSP00000265131","9606.ENSP00000296585",921
"9606.ENSP00000283249","9606.ENSP00000296585",965
"9606.ENSP00000283249","9606.ENSP00000296585",965
"9606.ENSP00000293379","9606.ENSP00000296585",929
"9606.ENSP00000293379","9606.ENSP00000296585",929
"9606.ENSP00000295550","9606.ENSP00000296585",915
"9606.ENSP00000295550","9606.ENSP00000296585",915
"9606.ENSP00000225964","9606.ENSP00000297268",999
"9606.ENSP00000225964","9606.ENSP00000297268",999
"9606.ENSP00000261023","9606.ENSP00000297268",932
"9606.ENSP00000261023","9606.ENSP00000297268",932
"9606.ENSP00000261405","9606.ENSP00000297268",460
"9606.ENSP00000261405","9606.ENSP00000297268",460
"9606.ENSP00000261799","9606.ENSP00000297268",714
"9606.ENSP00000261799","9606.ENSP00000297268",714
"9606.ENSP00000283249","9606.ENSP00000297268",668
"9606.ENSP00000283249","9606.ENSP00000297268",668
"9606.ENSP00000293379","9606.ENSP00000297268",754
"9606.ENSP00000293379","9606.ENSP00000297268",754
"9606.ENSP00000295550","9606.ENSP00000297268",917
"9606.ENSP00000295550","9606.ENSP00000297268",917
"9606.ENSP00000296585","9606.ENSP00000297268",963
"9606.ENSP00000296585","9606.ENSP00000297268",963
"9606.ENSP00000215781","9606.ENSP00000306157",745
"9606.ENSP00000215781","9606.ENSP00000306157",745
"9606.ENSP00000225474","9606.ENSP00000306157",753
"9606.ENSP00000225474","9606.ENSP00000306157",753
"9606.ENSP00000296585","9606.ENSP00000306157",547
"9606.ENSP00000296585","9606.ENSP00000306157",547
"9606.ENSP00000222390","9606.ENSP00000314897",621
"9606.ENSP00000222390","9606.ENSP00000314897",621
"9606.ENSP00000225474","9606.ENSP00000314897",463
"9606.ENSP00000225474","9606.ENSP00000314897",463
"9606.ENSP00000261405","9606.ENSP00000314897",727
"9606.ENSP00000261405","9606.ENSP00000314897",727
"9606.ENSP00000261799","9606.ENSP00000314897",805
"9606.ENSP00000261799","9606.ENSP00000314897",805
"9606.ENSP00000267843","9606.ENSP00000314897",409
"9606.ENSP00000267843","9606.ENSP00000314897",409
"9606.ENSP00000277120","9606.ENSP00000314897",619
"9606.ENSP00000277120","9606.ENSP00000314897",619
"9606.ENSP00000293379","9606.ENSP00000314897",574
"9606.ENSP00000293379","9606.ENSP00000314897",574
"9606.ENSP00000078445","9606.ENSP00000319814",456
"9606.ENSP00000078445","9606.ENSP00000319814",456
"9606.ENSP00000261405","9606.ENSP00000321326",638
"9606.ENSP00000261405","9606.ENSP00000321326",638
"9606.ENSP00000296585","9606.ENSP00000321326",441
"9606.ENSP00000296585","9606.ENSP00000321326",441
"9606.ENSP00000314897","9606.ENSP00000321326",433
"9606.ENSP00000314897","9606.ENSP00000321326",433
"9606.ENSP00000222390","9606.ENSP00000324532",902
"9606.ENSP00000222390","9606.ENSP00000324532",902
"9606.ENSP00000225964","9606.ENSP00000324532",509
"9606.ENSP00000225964","9606.ENSP00000324532",509
"9606.ENSP00000261023","9606.ENSP00000324532",826
"9606.ENSP00000261023","9606.ENSP00000324532",826
"9606.ENSP00000264144","9606.ENSP00000324532",968
"9606.ENSP00000264144","9606.ENSP00000324532",968
"9606.ENSP00000283249","9606.ENSP00000324532",836
"9606.ENSP00000283249","9606.ENSP00000324532",836
"9606.ENSP00000293379","9606.ENSP00000324532",820
"9606.ENSP00000293379","9606.ENSP00000324532",820
"9606.ENSP00000296585","9606.ENSP00000324532",947
"9606.ENSP00000296585","9606.ENSP00000324532",947
"9606.ENSP00000078445","9606.ENSP00000329140",856
"9606.ENSP00000078445","9606.ENSP00000329140",856
"9606.ENSP00000222390","9606.ENSP00000339824",711
"9606.ENSP00000222390","9606.ENSP00000339824",711
"9606.ENSP00000264664","9606.ENSP00000339824",899
"9606.ENSP00000264664","9606.ENSP00000339824",899
"9606.ENSP00000267843","9606.ENSP00000339824",944
"9606.ENSP00000267843","9606.ENSP00000339824",944
"9606.ENSP00000314897","9606.ENSP00000339824",677
"9606.ENSP00000314897","9606.ENSP00000339824",677
"9606.ENSP00000215781","9606.ENSP00000343957",632
"9606.ENSP00000215781","9606.ENSP00000343957",632
"9606.ENSP00000225474","9606.ENSP00000343957",652
"9606.ENSP00000225474","9606.ENSP00000343957",652
"9606.ENSP00000222390","9606.ENSP00000351209",746
"9606.ENSP00000222390","9606.ENSP00000351209",746
"9606.ENSP00000261023","9606.ENSP00000351209",425
"9606.ENSP00000261023","9606.ENSP00000351209",425
"9606.ENSP00000264664","9606.ENSP00000351209",629
"9606.ENSP00000264664","9606.ENSP00000351209",629
"9606.ENSP00000267843","9606.ENSP00000351209",612
"9606.ENSP00000267843","9606.ENSP00000351209",612
"9606.ENSP00000283249","9606.ENSP00000351209",476
"9606.ENSP00000283249","9606.ENSP00000351209",476
"9606.ENSP00000314897","9606.ENSP00000351209",673
"9606.ENSP00000314897","9606.ENSP00000351209",673
"9606.ENSP00000225964","9606.ENSP00000353654",773
"9606.ENSP00000225964","9606.ENSP00000353654",773
"9606.ENSP00000261023","9606.ENSP00000353654",943
"9606.ENSP00000261023","9606.ENSP00000353654",943
"9606.ENSP00000261799","9606.ENSP00000353654",412
"9606.ENSP00000261799","9606.ENSP00000353654",412
"9606.ENSP00000264144","9606.ENSP00000353654",453
"9606.ENSP00000264144","9606.ENSP00000353654",453
"9606.ENSP00000283249","9606.ENSP00000353654",682
"9606.ENSP00000283249","9606.ENSP00000353654",682
"9606.ENSP00000293379","9606.ENSP00000353654",766
"9606.ENSP00000293379","9606.ENSP00000353654",766
"9606.ENSP00000295550","9606.ENSP00000353654",566
"9606.ENSP00000295550","9606.ENSP00000353654",566
"9606.ENSP00000296585","9606.ENSP00000353654",927
"9606.ENSP00000296585","9606.ENSP00000353654",927
"9606.ENSP00000297268","9606.ENSP00000353654",788
"9606.ENSP00000297268","9606.ENSP00000353654",788
"9606.ENSP00000324532","9606.ENSP00000353654",604
"9606.ENSP00000324532","9606.ENSP00000353654",604
"9606.ENSP00000225964","9606.ENSP00000355180",956
"9606.ENSP00000225964","9606.ENSP00000355180",956
"9606.ENSP00000261023","9606.ENSP00000355180",927
"9606.ENSP00000261023","9606.ENSP00000355180",927
"9606.ENSP00000261799","9606.ENSP00000355180",402
"9606.ENSP00000261799","9606.ENSP00000355180",402
"9606.ENSP00000283249","9606.ENSP00000355180",654
"9606.ENSP00000283249","9606.ENSP00000355180",654
"9606.ENSP00000293379","9606.ENSP00000355180",754
"9606.ENSP00000293379","9606.ENSP00000355180",754
"9606.ENSP00000295550","9606.ENSP00000355180",989
"9606.ENSP00000295550","9606.ENSP00000355180",989
"9606.ENSP00000296585","9606.ENSP00000355180",927
"9606.ENSP00000296585","9606.ENSP00000355180",927
"9606.ENSP00000297268","9606.ENSP00000355180",931
"9606.ENSP00000297268","9606.ENSP00000355180",931
"9606.ENSP00000324532","9606.ENSP00000355180",489
"9606.ENSP00000324532","9606.ENSP00000355180",489
"9606.ENSP00000353654","9606.ENSP00000355180",656
"9606.ENSP00000353654","9606.ENSP00000355180",656
"9606.ENSP00000225964","9606.ENSP00000355751",659
"9606.ENSP00000225964","9606.ENSP00000355751",659
"9606.ENSP00000261023","9606.ENSP00000355751",720
"9606.ENSP00000261023","9606.ENSP00000355751",720
"9606.ENSP00000261405","9606.ENSP00000355751",457
"9606.ENSP00000261405","9606.ENSP00000355751",457
"9606.ENSP00000261799","9606.ENSP00000355751",468
"9606.ENSP00000261799","9606.ENSP00000355751",468
"9606.ENSP00000283249","9606.ENSP00000355751",666
"9606.ENSP00000283249","9606.ENSP00000355751",666
"9606.ENSP00000293379","9606.ENSP00000355751",751
"9606.ENSP00000293379","9606.ENSP00000355751",751
"9606.ENSP00000295550","9606.ENSP00000355751",783
"9606.ENSP00000295550","9606.ENSP00000355751",783
"9606.ENSP00000296585","9606.ENSP00000355751",694
"9606.ENSP00000296585","9606.ENSP00000355751",694
"9606.ENSP00000297268","9606.ENSP00000355751",823
"9606.ENSP00000297268","9606.ENSP00000355751",823
"9606.ENSP00000314897","9606.ENSP00000355751",463
"9606.ENSP00000314897","9606.ENSP00000355751",463
"9606.ENSP00000353654","9606.ENSP00000355751",683
"9606.ENSP00000353654","9606.ENSP00000355751",683
"9606.ENSP00000355180","9606.ENSP00000355751",792
"9606.ENSP00000355180","9606.ENSP00000355751",792
"9606.ENSP00000222390","9606.ENSP00000357392",406
"9606.ENSP00000222390","9606.ENSP00000357392",406
"9606.ENSP00000261799","9606.ENSP00000357392",642
"9606.ENSP00000261799","9606.ENSP00000357392",642
"9606.ENSP00000277120","9606.ENSP00000357392",703
"9606.ENSP00000277120","9606.ENSP00000357392",703
"9606.ENSP00000314897","9606.ENSP00000357392",560
"9606.ENSP00000314897","9606.ENSP00000357392",560
"9606.ENSP00000339824","9606.ENSP00000357392",655
"9606.ENSP00000339824","9606.ENSP00000357392",655
"9606.ENSP00000351209","9606.ENSP00000357392",999
"9606.ENSP00000351209","9606.ENSP00000357392",999
"9606.ENSP00000215781","9606.ENSP00000362195",743
"9606.ENSP00000215781","9606.ENSP00000362195",743
"9606.ENSP00000225474","9606.ENSP00000362195",999
"9606.ENSP00000225474","9606.ENSP00000362195",999
"9606.ENSP00000306157","9606.ENSP00000362195",475
"9606.ENSP00000306157","9606.ENSP00000362195",475
"9606.ENSP00000225964","9606.ENSP00000364979",810
"9606.ENSP00000225964","9606.ENSP00000364979",810
"9606.ENSP00000261023","9606.ENSP00000364979",946
"9606.ENSP00000261023","9606.ENSP00000364979",946
"9606.ENSP00000261799","9606.ENSP00000364979",494
"9606.ENSP00000261799","9606.ENSP00000364979",494
"9606.ENSP00000264144","9606.ENSP00000364979",540
"9606.ENSP00000264144","9606.ENSP00000364979",540
"9606.ENSP00000283249","9606.ENSP00000364979",718
"9606.ENSP00000283249","9606.ENSP00000364979",718
"9606.ENSP00000293379","9606.ENSP00000364979",799
"9606.ENSP00000293379","9606.ENSP00000364979",799
"9606.ENSP00000295550","9606.ENSP00000364979",579
"9606.ENSP00000295550","9606.ENSP00000364979",579
"9606.ENSP00000296585","9606.ENSP00000364979",947
"9606.ENSP00000296585","9606.ENSP00000364979",947
"9606.ENSP00000297268","9606.ENSP00000364979",824
"9606.ENSP00000297268","9606.ENSP00000364979",824
"9606.ENSP00000324532","9606.ENSP00000364979",546
"9606.ENSP00000324532","9606.ENSP00000364979",546
"9606.ENSP00000353654","9606.ENSP00000364979",999
"9606.ENSP00000353654","9606.ENSP00000364979",999
"9606.ENSP00000355180","9606.ENSP00000364979",656
"9606.ENSP00000355180","9606.ENSP00000364979",656
"9606.ENSP00000355751","9606.ENSP00000364979",732
"9606.ENSP00000355751","9606.ENSP00000364979",732
"9606.ENSP00000215781","9606.ENSP00000369293",674
"9606.ENSP00000215781","9606.ENSP00000369293",674
"9606.ENSP00000225474","9606.ENSP00000369293",778
"9606.ENSP00000225474","9606.ENSP00000369293",778
"9606.ENSP00000296585","9606.ENSP00000369293",493
"9606.ENSP00000296585","9606.ENSP00000369293",493
"9606.ENSP00000306157","9606.ENSP00000369293",739
"9606.ENSP00000306157","9606.ENSP00000369293",739
"9606.ENSP00000222390","9606.ENSP00000374309",900
"9606.ENSP00000222390","9606.ENSP00000374309",900
"9606.ENSP00000225964","9606.ENSP00000374309",500
"9606.ENSP00000225964","9606.ENSP00000374309",500
"9606.ENSP00000261023","9606.ENSP00000374309",806
"9606.ENSP00000261023","9606.ENSP00000374309",806
"9606.ENSP00000264144","9606.ENSP00000374309",914
"9606.ENSP00000264144","9606.ENSP00000374309",914
"9606.ENSP00000283249","9606.ENSP00000374309",694
"9606.ENSP00000283249","9606.ENSP00000374309",694
"9606.ENSP00000293379","9606.ENSP00000374309",820
"9606.ENSP00000293379","9606.ENSP00000374309",820
