"from","to"
"CDX2","IL6"
"CEBPA","IL6"
"SPI1","IL6"
"CEBPB","IL6"
"RUNX1","IL6"
"ERG","IL6"
"NFKB2","IL6"
"HIF1A","IL6"
"NFKB1","IL6"
"BACH1","IL6"
"REL","IL6"
"STAT5B","IL6"
"STAT5A","IL6"
"ELK1","IL6"
"FOSL1","IL6"
"PPARG","IL6"
"CREB1","IL6"
"EGR1","IL6"
"STAT4","IL6"
"FLI1","IL6"
"HNF1A","IL6"
"KLF4","IL6"
"TFAP2C","IL6"
"RUNX3","IL6"
"NFATC2","IL6"
"MYB","IL6"
"HNF4A","IL6"
"TWIST1","IL6"
"FOS","IL6"
"ETS2","IL6"
"VDR","IL6"
"EPAS1","IL6"
"FOXA1","IL6"
"CEBPD","IL6"
"RELA","IL6"
"ZEB1","IL6"
"E2F3","IL6"
"MYC","IL6"
"IRF1","IL6"
"FOXP1","IL6"
"MITF","IL6"
"ATF6","IL6"
"ETS1","IL6"
"FOXO4","IL6"
"ZBTB33","IL6"
"SREBF2","IL6"
"GLI2","IL6"
"RARA","IL6"
"RXRA","IL6"
"PAX8","IL6"
"SRF","IL6"
"TCF7L2","IL6"
"REST","IL6"
"USF2","IL6"
"NFIC","IL6"
"MYCN","IL6"
"JUN","IL6"
"JUND","IL6"
"FOSL2","IL6"
"TCF3","IL6"
"RELB","IL6"
"STAT3","IL6"
"PPARA","IL6"
"SMAD3","IL6"
"STAT1","IL6"
"SOX10","IL6"
"NR3C1","IL6"
"ESR1","IL6"
"SOX2","IL6"
"E2F2","IL6"
"HSF1","IL6"
"TFAP2A","IL6"
"RFX5","IL6"
"KMT2A","IL6"
"SREBF1","IL6"
"ATF4","IL6"
"TP53","IL6"
"GATA1","IL6"
"SP3","IL6"
"ATF2","IL6"
"ATF1","IL6"
"POU2F1","IL6"
"ARNTL","IL6"
"SOX9","IL6"
"TP63","IL6"
"STAT6","IL6"
"LEF1","IL6"
"FOXM1","IL6"
"PGR","IL6"
"STAT2","IL6"
"GATA2","IL6"
"IRF9","IL6"
"ESR2","IL6"
"SMAD4","IL6"
"POU2F2","IL6"
"FOXO1","IL6"
"NFE2L2","IL6"
"TFDP1","IL6"
"CTCF","IL6"
"YY1","IL6"
"ZNF263","IL6"
"SP1","IL6"
"FOXA2","IL6"
"E2F1","IL6"
"TAL1","IL6"
"FOXO3","IL6"
"E2F4","IL6"
"USF1","IL6"
"AR","IL6"
"ETV4","IL6"
"PAX6","IL6"
"NR2F2","IL6"
"GATA3","IL6"
"NFYA","IL6"
"WT1","IL6"
"PRDM14","IL6"
"NR5A1","IL6"
"FOXL2","IL6"
